ccode,year,outputgap,CAPB,primarybalance,cyclicalcomponent,diffoutputgap,diffCAPB,diffprimarybalance,diffcyclicalcomponent,realGDP_growth,PDebt,FinancialCrisis,EuroCrisis,CovidCrisis,CovidOne,CovidTwo,US_outputgap_instrument,CAB,fiscalbalance,difffiscalbalance,diffCAB,Election,inflation,rGDP,TaxRev
AUT,1995,-0.6568873,-5.7589,-1.616859703,1.313032395,NA,NA,NA,NA,2.632983387,68.3205,0,0,0,0,0,-0.45,-5.7589,-4.445867605,NA,NA,1,2.243366379,242.0667,49.6721029
AUT,1996,-0.6245213,-4.147,-0.436631006,0.849538835,0.032366,1.6119,1.180228697,-0.431671303,2.322381762,68.2596,0,0,0,0,0,-0.23,-4.147,-3.297461165,1.14840644,1.6119,0,1.860971058,247.7542,51.1207791
AUT,1997,-0.959263,-2.0281,0.753671821,0.124693067,-0.3347417,2.1189,1.190302827,-0.928597173,2.071992501,63.4934,0,0,0,0,0,0.42,-2.0281,-1.903406933,1.394054232,2.1189,0,1.305978698,252.9412,49.696318
AUT,1998,-0.002381,-2.6949,0.655304853,0.674356983,0.956882,-0.6668,-0.098366967,0.568433033,3.518783479,63.859,0,0,0,0,0,0.93,-2.6949,-2.020543017,-0.117136085,-0.6668,0,0.922467202,262.0001,49.5280158
AUT,1999,0.9336944,-3.129,0.635707,1.160407571,0.9360754,-0.4341,-0.019597854,0.414502146,3.494557353,66.6905,0,0,0,0,0,1.67,-3.129,-1.968592429,0.051950588,-0.4341,1,0.568993734,271.3177,49.4656282
AUT,2000,1.6803468,-3.3642,0.894346935,1.502043653,0.7466524,-0.2352,0.258639935,0.493839935,3.319984006,66.1242,0,0,0,0,0,1.8,-3.3642,-1.862156347,0.106436082,-0.2352,0,2.344862851,280.4766,48.628286
AUT,2001,0.5044071,-0.9496,2.297049028,0.433353307,-1.1759397,2.4146,1.402702093,-1.011897907,1.259203189,66.729,0,0,0,0,0,-0.78,-0.9496,-0.516246693,1.345909654,2.4146,0,2.650000702,284.0307,50.6941342
AUT,2002,-0.1250785,-1.3098,1.617842199,0.226509792,-0.6294856,-0.3602,-0.679206829,-0.319006829,1.638057111,66.728,0,0,0,0,0,-2.05,-1.3098,-1.083290208,-0.567043515,-0.3602,1,1.81035795,288.7216,49.6731297
AUT,2003,-1.4139055,-0.9791,1.093100728,-0.422041873,-1.288827,0.3307,-0.524741471,-0.855441471,0.937056443,65.8529,0,0,0,0,0,-1.87,-0.9791,-1.401141873,-0.317851664,0.3307,0,1.355553661,291.4398,49.4845694
AUT,2004,-1.0265782,-4.2188,-1.441068027,0.369490574,0.3873273,-3.2397,-2.534168755,0.705531245,2.698407899,65.1894,0,0,0,0,0,-0.49,-4.2188,-3.849309426,-2.448167553,-3.2397,0,2.061206154,299.4111,48.9001283
AUT,2005,-1.0831925,-1.8898,0.58612722,-0.169474472,-0.0566143,2.329,2.027195247,-0.301804753,2.219262955,68.6425,0,0,0,0,0,0.67,-1.8898,-2.059274472,1.790034954,2.329,0,2.299137857,306.1301,48.6471693
AUT,2006,0.2322934,-2.6681,0.5087953,0.518987062,1.3154859,-0.7783,-0.07733192,0.70096808,3.395709297,67.309,0,0,0,0,0,1.23,-2.6681,-2.149112938,-0.089838465,-0.7783,1,1.441548576,316.7039,47.8444854
AUT,2007,2.0520307,-2.5263,1.570534248,1.331273048,1.8197373,0.1418,1.061738948,0.919938948,3.659635804,65.0313,0,0,0,0,0,1.1,-2.5263,-1.195026952,0.954085985,0.1418,0,2.16855528,328.5088,47.8895
AUT,2008,1.9698052,-2.62,1.304558389,1.276178019,-0.0822255,-0.0937,-0.265975859,-0.172275859,1.449856105,68.6985,1,0,0,0,0,-0.79,-2.62,-1.343821981,-0.148795028,-0.0937,1,3.215950377,333.3064,48.3787194
AUT,2009,-2.7899303,-3.7367,-1.909341184,-0.915890005,-4.7597355,-1.1167,-3.213899572,-2.097199572,-3.837274823,79.854,1,0,0,0,0,-4.97,-3.7367,-4.652590005,-3.308768025,-1.1167,0,0.506308827,320.7588,48.8150874
